ID,Task,Status,Owner,Priority,Blocked on,Effort,What / why,Evidence
CQ-011,"16 of 20 repositories and most response parsers have no test, including account deletion",Open,App dev,P1,nothing - can be done now,2-3 days for the high-risk subset,"Confirmed by mechanical count with two small corrections. I grepped every repository filename across test/*.dart: 15 return zero hits (alerts, applications, articles, companies, dashboard, education, experience, home, languages, onboarding, profile, projects, saved_jobs, settings, skills) and resume_repository is referenced only by a widget test of the error card — so '16 of 20 with no repository-level test' is accurate. All 16 named model classes return zero hits, parsers_test.dart covers exactly 7 parsers (JobSummary, JobsPage, ApplyQuota, HomeFeed, Application, SavedJob, NotificationPreferences), and friendlyDioMessage appears in the suite only inside a comment at resume_card_test.dart:73","`find lib -name '*_repository.dart' | wc -l` = 20; per-filename grep over test/*.dart → 0 hits for 15 of them, 1 for auth/catalogs/jobs/reports/resume. Per-class grep → 0 for JobDetail, CompanyProfile, CompaniesPage, ArticleDetail, ArticlesPage, ProfileOverview, CandidateProfile, ResumeView, JobAler"
CQ-012,"No integration or e2e test exists, and not one screen is ever mounted in a test",Open,App dev,P1,nothing - can be done now,1-2 days for a first e2e path,"Confirmed. No integration_test directory, dev_dependencies are only flutter_test/flutter_lints/flutter_launcher_icons/image, and a repo-wide grep for matchesGoldenFile|integration_test|mocktail|mockito|patrol|--coverage|codecov returns nothing outside build artifacts. Five files call pumpWidget and none of the 21 `*_screen.dart` files is imported by any test — I dumped every package import in the suite to check, and no screen appears. Minor correction: 21 screens, not ~26. dependsOn stays app-independent but with a split the owner should hear: widget-level screen tests (mount a screen inside a ProviderScope with the repository overridden, assert list/empty/error/pagination) need nothing exte","`ls -d integration_test` → No such file or directory. pubspec.yaml:26-32 dev_dependencies. Repo-wide grep for matchesGoldenFile|integration_test|mocktail|mockito|patrol → no matches. `grep -rn pumpWidget test/*.dart | cut -d: -f1 | sort -u` → company_avatar, cq_chips, resume_card, simple_markdown, t"
CQ-013,iPhone landscape and full iPad support are declared but nothing was designed for either,Done 19 Aug,App dev,P1,nothing - can be done now,30 min to lock to iPhone portrait; multi-day if iPad support is kept,"Locked to iPhone portrait: Info.plist declares portrait only, the ~ipad orientation key is gone, and TARGETED_DEVICE_FAMILY drops from ""1,2"" to 1. Android matched with android:screenOrientation=""portrait"". Apple reviews what the app DECLARES, and this declared a landscape and tablet experience nobody had laid out.","ios/Runner/Info.plist:56-61 lists Portrait + LandscapeLeft + LandscapeRight for iPhone and :62-68 all four for iPad. `grep -n TARGETED_DEVICE_FAMILY ios/Runner.xcodeproj/project.pbxproj` → ""1,2"" at :357, :483, :536. `grep -rn ""SystemChrome\|DeviceOrientation"" lib/` → exit 1, no matches. `grep -rln L"
CQ-014,Registration collects a marketing-consent checkbox and throws it away,Done 19 Aug,App dev,P1,nothing - can be done now,"~30 min: drop ""or SMS"" from the copy and PATCH /me/notifications after register",Unticking now PATCHes /me/notifications (alerts + product news off). Copy no longer promises SMS.,"lib/features/auth/presentation/register_screen.dart:35 `bool _updates = true;`, :196-197 comment ""captured now, honoured once notifications ship (the backend has no field for it yet)"", :199-206 the checkbox reading 'Send me job alerts & updates by email or SMS.'; `grep -n _updates` returns ONLY line"
CQ-015,Sharing a company sends a link the website 404s,Done 19 Aug,App dev,P1,nothing - can be done now,10 min,Was my own regression from earlier the same night. Now emits <slug>-overview-<id> per buildCompanyHandle.,"cq-mobile/lib/features/companies/presentation/company_detail_screen.dart:76 — `final url = '${AppConfig.webBaseUrl}/company/${company.slug}';`. The correct value is already on the model: company_models.dart:252 `handle: j['handle'] as String? ?? ''`, populated by jobportal/apps/api/src/public-compan"
CQ-016,"Every server-side validation error shows as ""Something went wrong. Please try again.""",Done 19 Aug,App dev,P1,nothing - can be done now,30 min,friendlyDioMessage now reads Zod issue arrays and names the field. Root cause of every generic apology in the product.,"cq-mobile/lib/core/network/api_error.dart:14-18 — the List branch is `final first = (data['message'] as List).first; if (first is String) return first;` with no Map handling, falling through to `return 'Something went wrong. Please try again.';`. Backend contract confirmed at jobportal/apps/api/src/"
CQ-017,Clearing a text field in the profile or education editor silently does nothing,Done 19 Aug,App dev,P1,nothing - can be done now,1 h,Rule extracted to core/format/patch_body.dart with 7 tests. phone stays skipped; preferredCityIds got a _citiesLoaded flag.,"cq-mobile/lib/features/profile/presentation/profile_details_editor_screen.dart:171-174 `void putStr(String k, TextEditingController c) { final v = c.text.trim(); if (v.isNotEmpty) body[k] = v; }`, applied at :177-186 to phone/headline/summary/currentTitle/currentCompanyName/currentCityName, plus :19"
CQ-018,"Tapping ""Next page"" produces no visible response and leaves the user parked at the bottom of the list",Done 19 Aug,App dev,P1,nothing - can be done now,1–2 h,"Only pull-to-refresh keeps the list mounted now; the pager, a new query and filter changes show the loader and rebuild at the top.","`grep -rn ""ScrollController"" lib/` returns zero hits across the whole app — confirmed. The pager is the last item in each list: job_search_screen.dart:464 `if (i == page.hits.length + 1) return CqPager(...)`, saved_jobs_screen.dart:150, applications_screen.dart:193. The suppressed spinner is real on"
CQ-019,The Jobs tab never refreshes its saved/applied markers after the user saves or applies,Done 19 Aug,App dev,P1,nothing - can be done now,20 min,Listens on CqData and refetches just the markers. Also fixed _enrichMarkers bailing on an empty reply.,"`grep -rn ""onDataChanged\|bumpData"" lib/` returns listeners at exactly four screens — alerts_screen.dart:164, applications_screen.dart:147, home_screen.dart:113, saved_jobs_screen.dart:125 — and job_search_screen.dart appears only as a *producer* (:283 `ref.bumpData(CqData.alerts)`), never as a cons"
CQ-020,"Profile's Resume card still says ""Add your resume to apply for jobs"" after the user uploads one during the apply flow",Done 19 Aug,App dev,P1,nothing - can be done now,30 min,"Added CqData.resume, bumped from the single upload funnel, so profile/apply/onboarding all agree.","cq-mobile/lib/features/resume/presentation/resume_section.dart:71-75 loads once in `initState` and the file contains no `onDataChanged`; core/state/data_freshness.dart:4 `enum CqData { savedJobs, applications, alerts, profile }` has no resume domain. profile_screen.dart:365 mounts it as `const Resum"
CQ-021,"""Continue with Phone"" and ""Log in with OTP"" are finished-looking dead ends",Done 19 Aug,App dev,P1,nothing - can be done now,~15 min to remove the dead ends; the feature itself needs backend,Covered by the same AppConfig.showAuthAlternatives gate.,"cq-mobile/lib/features/auth/presentation/phone_continue_screen.dart:35-40 — `_continue()` runs `_formKey.currentState!.validate()` then `showComingSoon(context, 'Phone OTP');` under the comment ""Real OTP delivery requires backend endpoints we can't add here"". Validation is fully built (:43-47, 10-di"
CQ-022,"Debug Dio logger prints auth request bodies — plaintext password, OTP code and reset ticket reach logcat",Done 19 Aug,App dev,P2,nothing - can be done now,~15 min,"Replaced LogInterceptor with a redacting one. 7 tests, mutation-checked.","lib/core/network/dio_client.dart:127-137 (LogInterceptor requestBody/responseBody true, no path filter, kDebugMode-gated); lib/features/auth/data/auth_repository.dart:43, 62-67, 106, 132"
CQ-023,"No screenshot/recents protection (FLAG_SECURE) on profile, resume or application screens",Declined 19 Aug,App dev,P2,nothing - can be done now,0 if consciously declined (recommended); ~1 hour if scoped to profile/applications,"Deliberately NOT doing this. FLAG_SECURE blanks the app in the recents switcher and blocks screenshots wholesale — which breaks a candidate screenshotting their own application status or resume to share, a thing people genuinely do. The data here is the user's own CV and job history, not credentials or payment details. Revisit only if a customer or a review asks for it.",android/app/src/main/kotlin/com/careerqueue/cq_mobile/MainActivity.kt (4-line empty FlutterActivity subclass); `grep -rn -iE 'flag_secure|secureScreen|no_screenshot' lib android ios` -> no matches
CQ-024,ITSAppUsesNonExemptEncryption is not declared — every iOS upload will stall on the export-compliance prompt,Done 19 Aug,App dev,P2,nothing - can be done now,5 min,Duplicate of the P1 row filed by another auditor; declared false in the same pass.,"I read ios/Runner/Info.plist in full — 71 lines, `wc -c` = 2324 bytes exactly as claimed — and the dict contains only CADisableMinimumFrameDurationOnPhone, CFBundle* keys, LSRequiresIPhoneOS, UIApplicationSceneManifest, UIApplicationSupportsIndirectInputEvents, UILaunchStoryboardName, UIMainStoryboa"
CQ-025,"No coverage is measured anywhere, so ""155 tests"" has no denominator",Done 19 Aug,App dev,P2,nothing - can be done now,30 min,"CI runs --coverage, summarises with lcov, uploads lcov.info.",tool/verify.sh:17 `flutter test`; .github/workflows/ci.yml:35-36 `- name: Test` / `run: flutter test`. Repo-wide grep for `--coverage|codecov` (excluding build/ and .dart_tool/) → no matches. .gitignore:36 `/coverage/`.
CQ-026,CI has no formatting gate and floats its Flutter version while failing on any analyzer output,Done 19 Aug,App dev,P2,nothing - can be done now,30 min,"Flutter pinned to 3.41.0; coverage added. Format gate deliberately deferred - 117 of 155 files are unformatted, so it belongs in its own reviewed commit.",".github/workflows/ci.yml:20-25 (`uses: subosito/flutter-action@v2`, `channel: stable`, `cache: true`, no flutter-version) with the comment at :22-23; :30-33 (""Fails on ANY analyzer output, not just errors"" above `flutter analyze lib test`); only 4 steps total, no dart format. analysis_options.yaml i"
CQ-027,No Android App Bundle has ever been built; the only release pipeline produces an APK,Done 19 Aug,App dev,P2,nothing - can be done now,5 min to change the command; verification blocked on the Gradle daemon fault,CI release step now builds an .aab with production URLs. Not runnable locally until the Gradle fault clears.,"`.github/workflows/ci.yml:40-41` — `- name: Build release APK` / `run: flutter build apk --release`. `ls build/app/outputs/` → apk, flutter-apk, logs, mapping, native-debug-symbols, sdk-dependencies — no bundle/. `find . -name ""*.aab""` → empty. `grep -rn ""appbundle""` across the repo (excluding build"
CQ-028,Nothing fails a release build that still has the localhost API default baked in,Done 19 Aug,App dev,P2,nothing - can be done now,"~30 min, doable tonight on Windows with no external input",AppConfig.pointsAtLocalhost + assert + release_config_test.dart.,"lib/core/config/app_config.dart:22-25 and :34-37 are bare `String.fromEnvironment` declarations with defaultValue and no guard of any kind. `grep -rn ""kReleaseMode|kDebugMode"" lib --include=*.dart` returns only two hits, both in lib/core/network/dio_client.dart:123,127 (a debug-only logging intercep"
CQ-029,"CocoaPods has never been configured — no Podfile, no Podfile.lock",Open,App dev,P2,nothing - can be done now,20 min to author the file on Windows; `pod install` itself needs the Mac,"The absence is CONFIRMED and the PICKER_MEDIA point is valid — a Podfile is the only place that lever exists. But I am downgrading the severity, because one of the three stated harms is a misread: the finding says there is 'nowhere to pin platform :ios, 13.0', yet `grep -n IPHONEOS_DEPLOYMENT_TARGET ios/Runner.xcodeproj/project.pbxproj` returns 13.0 at :353, :479 and :536, and the template Podfile ships that very line commented out (Podfile-ios:2) precisely because flutter_ios_podfile_setup derives it from the Xcode project. So the deployment target is already pinned. What is left is reproducibility and the PICKER_MEDIA lever — real, but not important-grade on its own. dependsOn stays app-in","`ls -la ios/` → .gitignore, Flutter, Runner, Runner.xcodeproj, Runner.xcworkspace, RunnerTests only. `git ls-files ios` → 48 entries, none matching Podfile. I also checked `cat ios/.gitignore` and the root .gitignore: neither ignores Podfile or Podfile.lock, so the absence is genuine and not an igno"
CQ-030,App icon has no iOS 18 dark/tinted variants and the mark sits in heavy white padding,Open,App dev,P2,nothing - can be done now,1 h,"CONFIRMED, and I verified the part the previous auditor could most easily have gotten wrong — that the fix really is a re-run of the pinned tool rather than hand-authoring Contents.json. 0.14.4 does generate the dark/tinted appearance entries from two extra source images. dependsOn app-independent holds: new PNGs plus two pubspec keys plus `dart run flutter_launcher_icons`, all on Windows, no Mac needed (the asset catalog is plain files). Kept at nice-to-have — it is polish, not a gate, and it is downstream of the signing blocker anyway.","ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json — `grep -c appearances` → 0; 25 image entries, all classic light-mode idioms, ending at the 1024 ios-marketing slot. I opened Icon-App-1024x1024@1x.png directly: 1024x1024, 8-bit RGB colortype 2 (no alpha, correct for iOS), showing the navy"
CQ-031,The hand-off spec in the app repo still tells the next developer the endpoints have no /v1 prefix,Done 19 Aug,App dev,P2,nothing - can be done now,15 min,"API_SPEC_FOR_MOBILE.md said ""no global route prefix"". The truth is a SPLIT surface: main.ts sets defaultVersion VERSION_NEUTRAL, so /v1 applies only where a controller asks for it — the public surface does, /me/* and auth/* do not. Corrected with both sides spelled out, because a route added on the wrong side 404s in a way nothing in CI would catch.","cq-mobile/API_SPEC_FOR_MOBILE.md:44 — ""No global route prefix — routes sit at the API root, exactly like `me/saved-jobs` and `alerts/unsubscribe` (`apps/api/src/main.ts` sets none)."" As built: jobportal/apps/api/src/main.ts:56 `app.enableVersioning({ type: VersioningType.URI, defaultVersion: VERSION"
CQ-032,Creating or deleting an alert from the Alerts screen leaves Home's alert count wrong,Done 19 Aug,App dev,P2,nothing - can be done now,10 min,"Alerts screen now bumps the freshness bus, so Home stops showing a stale count.",cq-mobile/lib/features/alerts/presentation/alerts_screen.dart:73-78 `_openEditor` ends `if (saved == true) _load();` and the delete path at :127-131 does a local `setState(() => _alerts = (_alerts ?? []).where(...).toList())` — `grep bumpData lib/features/alerts/` returns nothing. Home subscribes at
CQ-033,Remaining places that invent a value instead of admitting it is unknown,Done 19 Aug,App dev,P2,nothing - can be done now,45 min,"savedAt/appliedAt/updatedAt/at nullable; resume uploadedAt no longer claims ""Added today"".","All six confirmed by direct read. applications/data/application.dart:39 `at: DateTime.tryParse(...) ?? DateTime(2000)`, :118 `appliedAt: ... ?? DateTime(2000)`, :119 `updatedAt: ... ?? DateTime(2000)`. saved_jobs/data/saved_job.dart:37 `savedAt: ... ?? DateTime(2000)`. resume/data/resume_models.dart"
CQ-034,"Job detail replaces a job that loaded fine with ""Could not load this job"" if a secondary call throws",Done 19 Aug,App dev,P2,nothing - can be done now,20 min,Each enrichment call has its own catch; only the job itself can error the screen.,"cq-mobile/lib/features/jobs/presentation/job_detail_screen.dart:61-91 — `repo.detail` (:63), `repo.jobState` (:73), `_loadQuota(repo)` (:79) and `repo.similar` (:82) are all inside one `try`, closed by `catch (e) { _error = e is JobsException ? e.message : 'Could not load this job.'; _loading = fals"
CQ-035,Undisposed TextEditingController in the delete-account dialog,Done 19 Aug,App dev,P2,nothing - can be done now,5 min,Disposed after the delete-account dialog closes.,"cq-mobile/lib/features/settings/presentation/settings_screen.dart:90 `final controller = TextEditingController();` inside `_confirmDelete()`. `grep -n dispose lib/features/settings/presentation/settings_screen.dart` returns NO hits at all — the string does not appear anywhere in the file, on either "
CQ-036,Release builds are signed with the public Android debug keystore,Open,App dev,P0,"a secret, account, hosted URL or a Mac","~1 hour of gradle work, but only after the owner has generated and stored the upload keystore","CONFIRMED by my own read. android/app/build.gradle.kts buildTypes.release still contains the verbatim Flutter template block with `signingConfig = signingConfigs.getByName(""debug"")` and the TODO above it. `git ls-files | grep -iE '\.jks|key\.properties|keystore'` returns nothing (exit 1) and `ls android/` shows no key.properties, while .gitignore already carries `**/key.properties`, `**/*.keystore`, `**/*.jks` — so the discipline exists and the key does not. A 59.7 MB app-release.apk dated 19 Aug does exist at build/app/outputs/flutter-apk/. ONE SUB-CLAIM IS WRONG and should be dropped when reporting: the auditor says 'the CI job is currently green while producing a debug-signed artifact'. I","android/app/build.gradle.kts:33-39 `release { // TODO: Add your own signing config for the release build. // Signing with the debug keys for now... signingConfig = signingConfigs.getByName(""debug"") }`; `git ls-files | grep -iE '\.jks|key.properties|keystore'` -> no output, exit 1; `git remote -v` ->"
CQ-037,"""Terms & Privacy Policy"" is inert text in the app — no tappable legal link anywhere",Open,App dev,P0,"a secret, account, hosted URL or a Mac","30 min of app work, once a hosted URL exists","CONFIRMED — I re-read both widget trees rather than trusting the grep, and both are non-interactive `Text`. dependsOn=app-gated is correct and I am not softening it: the code edit is trivial, but the taxonomy explicitly puts ""a hosted URL that does not exist yet"" under app-gated, and finding #1 proves /privacy has no destination. Shipping a tappable link to a 404 is worse for review than the current inert text, so this genuinely cannot be closed tonight.","Case-insensitive `grep -rniE ""privacy|terms|legal|/about"" lib/ --include=""*.dart""` returns exactly three hits, two of them the legal strings and one an unrelated article body. lib/features/auth/presentation/auth_landing_screen.dart:249-256 wraps the string in a plain `Text(...)` with only a `style:`"
CQ-038,API and web base URLs default to localhost — the reviewer's build reaches nothing and Share emits broken links,Open,App dev,P0,"a secret, account, hosted URL or a Mac","30 min app-side, once hosted API and web origins exist","CONFIRMED, and I strengthened it: I checked the jobportal repo independently and no production origin exists there either, so this is not merely an unset dart-define — there is genuinely nothing to point at. dependsOn=app-gated is correct: 'a hosted URL that does not exist yet' is the textbook case. The release network policy means an http:// LAN origin will not rescue it either — it must be a real HTTPS origin.","lib/core/config/app_config.dart:22-25 `static const String apiBaseUrl = String.fromEnvironment('API_BASE_URL', defaultValue: 'http://127.0.0.1:4000')` and :34-37 `webBaseUrl ... defaultValue: 'http://localhost:3000'`, with the doc comment at :30-31 reading ""The website has no production domain yet ("
CQ-039,No code-signing identity: DEVELOPMENT_TEAM absent from the entire Xcode project,Open,App dev,P0,"a secret, account, hosted URL or a Mac","1-2 h on a Mac, after a paid Apple Developer Program membership exists","CONFIRMED, including the sub-claim that CODE_SIGN_STYLE sits only on RunnerTests — I opened those build-config blocks rather than trusting the line numbers. dependsOn app-gated is correct and I would not soften it: a Team ID is issued only with a paid Apple Developer Program membership the owner must buy, and the archive/upload step requires macOS. This is the true iOS gate; every other iOS item is downstream of it.","`grep -n ""DEVELOPMENT_TEAM"" ios/Runner.xcodeproj/project.pbxproj` → exit code 1, zero output. `grep -n CODE_SIGN ...` → only :339, :459, :516 `""CODE_SIGN_IDENTITY[sdk=iphoneos*]"" = ""iPhone Developer""` plus CODE_SIGN_STYLE = Automatic at :387/:404/:419 — I read those three blocks (sed -n '370,430p') "
CQ-040,No production API or website base URL exists — a release build talks to localhost,Open,App dev,P0,"a secret, account, hosted URL or a Mac","~1 hour to wire the defines, but only after the two hosts exist","Confirmed with my own eyes — both defaults are loopback and nothing anywhere supplies a production value, including the release APK step in CI. Two evidence errors in the original write-up that do not change the verdict: the repo DOES have CI (.github/workflows/ci.yml, self-documented as inert because the git remote was deleted) and DOES have a gate script (tool/verify.sh); neither passes a dart-define, so the gap stands. dependsOn stays app-gated and is correctly harsh: the blocker is a deployed API host and a deployed website domain, neither of which exists (jobportal's own .env.example carries no production host; the only 'careerqueue.in' string in the monorepo is a seed admin email). An ","lib/core/config/app_config.dart:23 `String.fromEnvironment('API_BASE_URL', defaultValue: 'http://127.0.0.1:4000')` and :35 `WEB_BASE_URL` default `http://localhost:3000`. Share links: lib/features/jobs/presentation/job_detail_screen.dart:218 `'${AppConfig.webBaseUrl}/job/${job.canonicalSlug}'`; lib/"
CQ-041,"The shipped default API endpoint is cleartext loopback, with no release-mode guard against shipping it",Open,App dev,P1,"a secret, account, hosted URL or a Mac","~20 min for the release https guard, but it only lands sensibly alongside the deployed API host","CONFIRMED, including the negative claim which is the load-bearing part. app_config.dart:22-25 defaults API_BASE_URL to 'http://127.0.0.1:4000' and :34-37 defaults WEB_BASE_URL to 'http://localhost:3000', both compile-time String.fromEnvironment. I verified the absence of any guard: `grep -rn 'kReleaseMode|apiBaseUrl' lib/` returns exactly two hits — the declaration and its single consumer dio_client.dart:37 — so kReleaseMode appears nowhere in lib/ at all, and no assert or https check exists on the base URL. network_security_config.xml is as described: base-config cleartextTrafficPermitted=""false"" at :26 with a domain-config at :28-34 keeping 127.0.0.1 / localhost / 10.0.2.2 cleartext, i.e. ",lib/core/config/app_config.dart:22-25 and :34-37 (cleartext defaults); `grep -rn 'kReleaseMode|apiBaseUrl' lib/` -> app_config.dart:22 and dio_client.dart:37 only (no guard anywhere); android/app/src/main/res/xml/network_security_config.xml:26 vs :28-34 (loopback cleartext exception in the release v
CQ-042,"iOS has never been built — no Podfile, no signing team, no Apple Developer account evidenced",Open,App dev,P1,"a secret, account, hosted URL or a Mac","1 day of setup, once a Mac and a paid Apple account exist","CONFIRMED. The missing Podfile is expected on a Windows-only checkout (Flutter generates it on first macOS build), so it is evidence of the state rather than a defect in itself — but the conclusion the auditor drew from it is right: nothing iOS has ever been compiled or signed, so every iOS item in this audit is unvalidated. dependsOn=app-gated is correct per the taxonomy ('a macOS machine'); note the paid Apple Developer Program membership inside it is separately an owner purchase, so this item is jointly Mac-blocked and owner-blocked and cannot start tonight.","`ls -la ios/` shows only .gitignore, Flutter/, Runner/, Runner.xcodeproj/, Runner.xcworkspace/, RunnerTests/ — no Podfile, no Podfile.lock, no Pods/. `grep -n ""DEVELOPMENT_TEAM\|CODE_SIGN"" ios/Runner.xcodeproj/project.pbxproj` returns zero DEVELOPMENT_TEAM lines; only `""CODE_SIGN_IDENTITY[sdk=iphone"
